Country,happiness_score,year
Ukraine,4.332,2019
Ethiopia,4.286,2019
Swaziland,4.212,2019
Uganda,4.189,2019
Egypt,4.166,2019
Zambia,4.107,2019
Togo,4.085,2019
India,4.015,2019
Liberia,3.975,2019
Comoros,3.973,2019
Madagascar,3.933,2019
Lesotho,3.802,2019
Burundi,3.775,2019
Zimbabwe,3.663,2019
Haiti,3.597,2019
Botswana,3.488,2019
Syria,3.462,2019
Malawi,3.41,2019
Yemen,3.38,2019
Rwanda,3.334,2019
Tanzania,3.231,2019
Afghanistan,3.203,2019
Central African Republic,3.083,2019
South Sudan,2.853,2019
Finland,7.808700085,2020
Denmark,7.645599842,2020
Switzerland,7.559899807,2020
Iceland,7.504499912,2020
Norway,7.487999916,2020
Netherlands,7.448900223,2020
Sweden,7.353499889,2020
New Zealand,7.299600124,2020
Austria,7.294199944,2020
Luxembourg,7.237500191,2020
Canada,7.23210001,2020
Australia,7.222799778,2020
United Kingdom,7.164500237,2020
Israel,7.128600121,2020
Costa Rica,7.121399879,2020
Ireland,7.093699932,2020
Germany,7.075799942,2020
United States,6.939599991,2020
Czech Republic,6.910900116,2020
Belgium,6.863500118,2020
United Arab Emirates,6.790800095,2020
Malta,6.772799969,2020
France,6.663799763,2020
Mexico,6.465000153,2020
Taiwan Province of China,6.45539999,2020
Uruguay,6.440100193,2020
Saudi Arabia,6.406499863,2020
Spain,6.400899887,2020
Guatemala,6.398900032,2020
Italy,6.38740015,2020
Singapore,6.377099991,2020
Brazil,6.375599861,2020
Slovenia,6.363399982,2020
El Salvador,6.34829998,2020
Kosovo,6.325200081,2020
Panama,6.304800034,2020
Slovakia,6.280600071,2020
Uzbekistan,6.257599831,2020
Chile,6.228499889,2020
Bahrain,6.227300167,2020
Lithuania,6.215499878,2020
Trinidad and Tobago,6.191899776,2020
Poland,6.186299801,2020
Colombia,6.163400173,2020
Cyprus,6.15899992,2020
Nicaragua,6.13710022,2020
Romania,6.123700142,2020
Kuwait,6.102099895,2020
Mauritius,6.101299763,2020
Kazakhstan,6.057899952,2020
Estonia,6.021800041,2020
Philippines,6.006000042,2020
Hungary,6.000400066,2020
Thailand,5.998799801,2020
Argentina,5.974699974,2020
Honduras,5.953199863,2020
Latvia,5.949999809,2020
Ecuador,5.925199986,2020
Portugal,5.910900116,2020
Jamaica,5.889800072,2020
South Korea,5.872399807,2020
Japan,5.870800018,2020
Peru,5.796800137,2020
Serbia,5.77820015,2020
Bolivia,5.747499943,2020
Pakistan,5.69329977,2020
Paraguay,5.692100048,2020
Dominican Republic,5.689199924,2020
Bosnia and Herzegovina,5.674099922,2020
Moldova,5.607500076,2020
Tajikistan,5.555699825,2020
Montenegro,5.54610014,2020
Russia,5.546000004,2020
Kyrgyzstan,5.541500092,2020
Belarus,5.539899826,2020
North Cyprus,5.53550005,2020
Greece,5.514999866,2020
Hong Kong S.A.R. of China,5.510399818,2020
Croatia,5.504700184,2020
Libya,5.488800049,2020
Mongolia,5.456200123,2020
Malaysia,5.384300232,2020
Vietnam,5.353499889,2020
Indonesia,5.285600185,2020
Ivory Coast,5.233300209,2020
Benin,5.21600008,2020
Maldives,5.197599888,2020
Congo (Brazzaville),5.194399834,2020
Azerbaijan,5.164800167,2020
Macedonia,5.159800053,2020
Ghana,5.147999763,2020
Nepal,5.137199879,2020
Turkey,5.131800175,2020
China,5.123899937,2020
Turkmenistan,5.119100094,2020
Bulgaria,5.101500034,2020
Morocco,5.094799995,2020
Cameroon,5.084899902,2020
Venezuela,5.053199768,2020
Algeria,5.005099773,2020
Senegal,4.980800152,2020
Guinea,4.949299812,2020
Niger,4.909599781,2020
Laos,4.888599873,2020
Albania,4.882699966,2020
Cambodia,4.848400116,2020
Bangladesh,4.832799911,2020
Gabon,4.829299927,2020
South Africa,4.814099789,2020
Iraq,4.784800053,2020
Lebanon,4.771500111,2020
Burkina Faso,4.768700123,2020
Gambia,4.750599861,2020
Mali,4.729300022,2020
Nigeria,4.724100113,2020
Armenia,4.676799774,2020
Georgia,4.672599792,2020
Iran,4.672399998,2020
Jordan,4.633399963,2020
Mozambique,4.623600006,2020
Kenya,4.583000183,2020
Namibia,4.571100235,2020
Ukraine,4.56069994,2020
Liberia,4.557899952,2020
Palestinian Territories,4.552800179,2020
Uganda,4.43200016,2020
Chad,4.422699928,2020
Tunisia,4.392199993,2020
Mauritania,4.374599934,2020
Sri Lanka,4.327000141,2020
Congo (Kinshasa),4.31099987,2020
Swaziland,4.308100224,2020
Myanmar,4.308000088,2020
Comoros,4.288599968,2020
Togo,4.187200069,2020
Ethiopia,4.186200142,2020
Madagascar,4.165599823,2020
Egypt,4.151400089,2020
Sierra Leone,3.926399946,2020
Burundi,3.775300026,2020
Zambia,3.759399891,2020
Haiti,3.720799923,2020
Lesotho,3.652800083,2020
India,3.573299885,2020
Malawi,3.538000107,2020
Yemen,3.527400017,2020
Botswana,3.478899956,2020
Tanzania,3.476200104,2020
Central African Republic,3.475899935,2020
Rwanda,3.312299967,2020
Zimbabwe,3.299200058,2020
South Sudan,2.816600084,2020
Albania,5.199,2021
Argentina,5.967,2021
Armenia,5.399,2021
Australia,7.162,2021
Austria,7.163,2021
Benin,4.623,2021
Bolivia,5.6,2021
Bosnia and Herzegovina,5.768,2021
Brazil,6.293,2021
Bulgaria,5.371,2021
Burkina Faso,4.67,2021
Cameroon,5.048,2021
Canada,7.025,2021
Chile,6.172,2021
Colombia,5.781,2021
Costa Rica,6.582,2021
Croatia,6.125,2021
Czechia,6.92,2021
Denmark,7.636,2021
Dominican Republic,5.737,2021
Ecuador,5.533,2021
Egypt,4.288,2021
El Salvador,6.12,2021
Estonia,6.341,2021
Finland,7.821,2021
France,6.687,2021
Gabon,4.958,2021
Georgia,4.973,2021
Germany,7.034,2021
Ghana,4.872,2021
Greece,5.948,2021
Honduras,6.022,2021
Hungary,6.086,2021
Iceland,7.557,2021
India,3.777,2021
Indonesia,5.24,2021
Iran,4.888,2021
Iraq,4.941,2021
Ireland,7.041,2021
Israel,7.364,2021
Italy,6.467,2021
Ivory Coast,5.235,2021
Jamaica,5.85,2021
Japan,6.039,2021
Jordan,4.152,2021
Kazakhstan,6.234,2021
Kenya,4.543,2021
Kyrgyzstan,5.828,2021
Latvia,6.18,2021
Lebanon,2.955,2021
Lithuania,6.446,2021
Malawi,3.75,2021
Mali,4.479,2021
Mauritius,6.071,2021
Mexico,6.128,2021
Moldova,5.857,2021
Mongolia,5.761,2021
Mozambique,5.048,2021
Myanmar,4.394,2021
Namibia,4.459,2021
Nepal,5.377,2021
Netherlands,7.415,2021
New Zealand,7.2,2021
Nicaragua,6.165,2021
Nigeria,4.552,2021
North Macedonia,5.199,2021
Norway,7.365,2021
Panama,6.309,2021
Paraguay,5.578,2021
Peru,5.559,2021
Philippines,5.904,2021
Poland,6.123,2021
Portugal,6.016,2021
Romania,6.477,2021
Russia,5.459,2021
Senegal,5.046,2021
Serbia,6.178,2021
Sierra Leone,3.574,2021
Slovakia,6.391,2021
Slovenia,6.63,2021
South Africa,5.194,2021
South Korea,5.935,2021
Spain,6.476,2021
Sri Lanka,4.362,2021
Sweden,7.384,2021
Switzerland,7.512,2021
Tanzania,3.702,2021
Thailand,5.891,2021
Togo,4.112,2021
Tunisia,4.516,2021
Turkey,4.744,2021
Uganda,4.603,2021
Ukraine,5.084,2021
United Kingdom,6.943,2021
United States,6.977,2021
Uruguay,6.474,2021
Uzbekistan,6.063,2021
Zambia,3.76,2021
Zimbabwe,2.995,2021
Afghanistan,2.566900015,2020
Finland,7.821,2022
Denmark,7.636,2022
Iceland,7.557,2022
Switzerland,7.512,2022
Netherlands,7.415,2022
Luxembourg*,7.404,2022
Sweden,7.384,2022
Norway,7.365,2022
Israel,7.364,2022
New Zealand,7.2,2022
Austria,7.163,2022
Australia,7.162,2022
Ireland,7.041,2022
Germany,7.034,2022
Canada,7.025,2022
United States,6.977,2022
United Kingdom,6.943,2022
Czechia,6.92,2022
Belgium,6.805,2022
France,6.687,2022
Bahrain,6.647,2022
Slovenia,6.63,2022
Costa Rica,6.582,2022
United Arab Emirates,6.576,2022
Saudi Arabia,6.523,2022
Taiwan Province of China,6.512,2022
Singapore,6.48,2022
Romania,6.477,2022
Spain,6.476,2022
Uruguay,6.474,2022
Italy,6.467,2022
Kosovo,6.455,2022
Malta,6.447,2022
Lithuania,6.446,2022
Slovakia,6.391,2022
Estonia,6.341,2022
Panama,6.309,2022
Brazil,6.293,2022
Guatemala*,6.262,2022
Kazakhstan,6.234,2022
Cyprus,6.221,2022
Latvia,6.18,2022
Serbia,6.178,2022
Chile,6.172,2022
Nicaragua,6.165,2022
Mexico,6.128,2022
Croatia,6.125,2022
Poland,6.123,2022
El Salvador,6.12,2022
Kuwait*,6.106,2022
Hungary,6.086,2022
Mauritius,6.071,2022
Uzbekistan,6.063,2022
Japan,6.039,2022
Honduras,6.022,2022
Portugal,6.016,2022
Argentina,5.967,2022
Greece,5.948,2022
South Korea,5.935,2022
Philippines,5.904,2022
Thailand,5.891,2022
Moldova,5.857,2022
Jamaica,5.85,2022
Kyrgyzstan,5.828,2022
Belarus*,5.821,2022
Colombia,5.781,2022
Bosnia and Herzegovina,5.768,2022
Mongolia,5.761,2022
Dominican Republic,5.737,2022
Malaysia,5.711,2022
Bolivia,5.6,2022
China,5.585,2022
Paraguay,5.578,2022
Peru,5.559,2022
Montenegro,5.547,2022
Ecuador,5.533,2022
Vietnam,5.485,2022
Turkmenistan*,5.474,2022
North Cyprus*,5.467,2022
Russia,5.459,2022
Hong Kong S.A.R. of China,5.425,2022
Armenia,5.399,2022
Tajikistan,5.377,2022
Nepal,5.377,2022
Bulgaria,5.371,2022
Libya*,5.33,2022
Indonesia,5.24,2022
Ivory Coast,5.235,2022
North Macedonia,5.199,2022
Albania,5.199,2022
South Africa,5.194,2022
Azerbaijan*,5.173,2022
Gambia*,5.164,2022
Bangladesh,5.155,2022
Laos,5.14,2022
Algeria,5.122,2022
Liberia*,5.122,2022
Ukraine,5.084,2022
Congo,5.075,2022
Morocco,5.06,2022
Mozambique,5.048,2022
Cameroon,5.048,2022
Senegal,5.046,2022
Niger*,5.003,2022
Georgia,4.973,2022
Gabon,4.958,2022
Iraq,4.941,2022
Venezuela,4.925,2022
Guinea,4.891,2022
Iran,4.888,2022
Ghana,4.872,2022
Turkey,4.744,2022
Burkina Faso,4.67,2022
Cambodia,4.64,2022
Benin,4.623,2022
Comoros*,4.609,2022
Uganda,4.603,2022
Nigeria,4.552,2022
Kenya,4.543,2022
Tunisia,4.516,2022
Pakistan,4.516,2022
Palestinian Territories*,4.483,2022
Mali,4.479,2022
Namibia,4.459,2022
"Eswatini, Kingdom of*",4.396,2022
Myanmar,4.394,2022
Sri Lanka,4.362,2022
Madagascar*,4.339,2022
Egypt,4.288,2022
Chad*,4.251,2022
Ethiopia,4.241,2022
Yemen,4.197,2022
Mauritania*,4.153,2022
Jordan,4.152,2022
Togo,4.112,2022
India,3.777,2022
Zambia,3.76,2022
Malawi,3.75,2022
Tanzania,3.702,2022
Sierra Leone,3.574,2022
Lesotho,3.512,2022
Botswana*,3.471,2022
Rwanda*,3.268,2022
Zimbabwe,2.995,2022
Lebanon,2.955,2022
Afghanistan,2.404,2022
